Feature,Coefficient,abs_coefficient
upstream_stop_delay,1.0061394334819602,1.0061394334819602
dwell_time,0.9821148555184676,0.9821148555184676
recurrent_delay,0.9716500703968798,0.9716500703968798
scheduled_travel_time,-0.9633637935074681,0.9633637935074681
factor(day_of_week)weekday,0.5391631234662169,0.5391631234662169
factor(day_of_week)weekend,-0.5391631234662164,0.5391631234662164
factor(time_of_day)Morning_peak,0.48418213655687636,0.48418213655687636
factor(time_of_day)Off-peak,-0.333887662595717,0.333887662595717
factor(time_of_day)Afternoon_peak,-0.1502944739611596,0.1502944739611596
stop_sequence,-0.07431536789659929,0.07431536789659929
travel_time_for_previous_section,0.011534624661580586,0.011534624661580586
previous_bus_delay,0.007169362460294561,0.007169362460294561
origin_delay,-0.0042676807012382275,0.0042676807012382275
